Community Area Name,Assault (Homicide),Unemployment
Rogers Park,7.7,7.5
West Ridge,5.8,7.9
Uptown,5.4,7.7
Lincoln Square,5,6.8
North Center,1,4.5
Lake View,1.4,4.7
Lincoln Park,0.7,4.5
Near North Side,3.7,5.2
Edison Park,0,7.4
Norwood Park,4.7,7.3
Jefferson Park,4.8,9
Forest Glen,3.3,5.5
North Park,3,7.5
Albany Park,4.7,9
Portage Park,3.3,10.6
Irving Park,4.1,10.3
Dunning,3.7,8.6
Montclaire,8.6,10.8
Belmont Cragin,7,11.5
Hermosa,12.7,12.9
Avondale,4.7,9.3
Logan Square,8.6,7.5
Humboldt Park,29,12.3
West Town,8.5,6
Austin,34.4,21
West Garfield Park,40,25.2
East Garfield Park,38.4,16.4
Near West Side,12.7,10.7
North Lawndale,46.7,18.5
South Lawndale,11.1,11.5
Lower West Side,11.7,13
Loop,0.7,4.2
Near South Side,4.8,5.7
Armour Square,1.8,11.6
Douglas,13.6,16.7
Oakland,18.9,26.6
Fuller Park,49.6,40
Grand Boulevard,32.1,20.6
Kenwood,15.2,11
Washington Park,44.6,23.2
Hyde Park,5.8,6.9
Woodlawn,31.1,17.3
South Shore,33.4,17.7
Chatham,45.2,19
Avalon Park,22.1,16.6
South Chicago,36.9,17.7
Burnside,70.3,23.4
Calumet Heights,19.5,17.2
Roseland,40.9,17.8
Pullman,32.2,21
South Deering,41.3,11.8
East Side,10.7,14.5
West Pullman,43.9,17
Riverdale,33,26.4
Hegewisch,6.9,9.6
Garfield Ridge,9.9,8.1
Archer Heights,16.6,14.2
Brighton Park,11.1,11.2
McKinley Park,5.1,11.9
Bridgeport,4.9,11.2
New City,26.6,17.4
West Elsdon,5.9,13.5
Gage Park,10.8,14
Clearing,9.4,9.6
West Lawn,10.7,7.8
Chicago Lawn,22.4,11.9
West Englewood,47.2,34.7
Englewood,45.1,21.3
Greater Grand Crossing,49.7,18.9
Ashburn,12.4,8.8
Auburn Gresham,37.6,24.2
Beverly,3.5,7.8
Washington Heights,38,18.3
Mount Greenwood,2.2,6.9
Morgan Park,19.9,14.9
Ohare,5.6,4.7
Edgewater,5.8,9